radio_flux_10.7cm_t5;radio_flux_10.7cm_t4;radio_flux_10.7cm_t3;radio_flux_10.7cm_t2;radio_flux_10.7cm_t1;sesc_sunspot_number_t5;sesc_sunspot_number_t4;sesc_sunspot_number_t3;sesc_sunspot_number_t2;sesc_sunspot_number_t1;sunspot_area_t5;sunspot_area_t4;sunspot_area_t3;sunspot_area_t2;sunspot_area_t1;goes15_xray_bkgd_flux_t5;goes15_xray_bkgd_flux_t4;goes15_xray_bkgd_flux_t3;goes15_xray_bkgd_flux_t2;goes15_xray_bkgd_flux_t1;z_component_wmfr_t5;z_component_wmfr_t4;z_component_wmfr_t3;z_component_wmfr_t2;z_component_wmfr_t1;p_component_wmfr_t5;p_component_wmfr_t4;p_component_wmfr_t3;p_component_wmfr_t2;p_component_wmfr_t1;c_component_wmfr_t5;c_component_wmfr_t4;c_component_wmfr_t3;c_component_wmfr_t2;c_component_wmfr_t1;mag_type_wmfr_t5;mag_type_wmfr_t4;mag_type_wmfr_t3;mag_type_wmfr_t2;mag_type_wmfr_t1;flare_t3do
-1.069829;-1.093616;-1.093616;-1.117402;-1.117402;-1.174403;-1.174403;-1.174403;-1.174403;-1.174403;-0.911686;-0.911686;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-1.235247;-1.235247;-1.238181;-1.238181;-1.238181;-1.238181;-1.238181;-1.257428;-1.257428;-1.257428;-1.257428;-1.257428;-1.243321;-1.243321;-1.243321;-1.243321;-1.243321;0.000000
0.119502;0.214648;0.262221;0.476301;0.428728;0.029348;0.044394;0.224957;0.540942;0.646270;0.068016;0.016453;0.205518;0.824277;0.910216;-0.218003;-0.218003;-0.203706;0.168006;0.196599;0.127921;0.127921;0.131416;0.146488;0.197217;0.055305;0.289515;0.289515;0.263908;0.523738;0.052213;0.128753;0.147992;0.596849;0.888406;0.042562;0.088627;0.104100;0.134691;0.616114;1.000000
-0.332444;-0.142151;0.071929;0.262221;0.428728;-0.587575;-0.346825;0.029348;0.405520;0.766645;-0.722621;-0.671058;-0.327303;-0.189801;0.085204;-0.260893;-0.160816;0.025040;-0.017850;-0.032147;-0.487629;-0.484134;-0.199976;0.346423;0.561333;-0.444584;-0.444584;-0.186506;0.349013;0.558998;-0.487035;-0.467796;-0.198171;0.417616;0.610492;-0.484169;-0.468697;-0.205331;0.321401;0.553821;1.000000
-1.141189;-1.141189;-1.141189;-1.117402;-1.141189;-1.174403;-1.174403;-0.978794;-0.933653;-0.933653;-0.911686;-0.911686;-0.877311;-0.860123;-0.877311;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-0.998322;-0.998322;-1.238181;-1.238181;-1.238181;-1.005711;-1.005711;-1.257428;-1.257428;-1.257428;-0.987804;-0.987804;-1.243321;-1.243321;-1.243321;-0.979955;-0.979955;1.000000
-1.164976;-1.164976;-1.164976;-1.164976;-1.164976;-0.993841;-1.008888;-1.174403;-1.174403;-1.174403;-0.877311;-0.894499;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-0.979900;-0.998322;-1.009329;-1.235247;-1.235247;-0.983186;-1.005711;-1.005711;-1.238181;-1.238181;-1.007044;-0.987804;-1.007044;-1.257428;-1.257428;-0.995428;-0.979955;-0.995428;-1.243321;-1.243321;0.000000
3.330695;3.425842;3.901574;3.806428;3.996721;3.234335;2.963491;3.565366;3.640601;3.008631;3.419628;3.935261;4.519645;4.004012;3.918073;1.683448;2.541245;1.969380;2.970143;2.112346;2.515996;2.782350;2.974631;3.181113;3.086404;2.612522;2.633294;2.800022;3.171935;3.146328;2.522487;2.519794;2.558064;3.039802;3.001323;1.978252;2.287682;3.127452;3.592646;3.561700;1.000000
-0.713030;-0.665457;-0.689243;-0.736817;-0.760603;-0.903559;-0.828325;-0.858419;-0.873466;-0.918606;-0.808560;-0.791372;-0.722621;-0.739809;-0.739809;-0.463905;-0.375266;-0.389562;-0.482490;-0.389562;-0.436900;-0.951088;-0.951088;-0.951088;-0.951088;-0.470113;-0.957618;-0.957618;-0.957618;-0.957618;-0.195478;-0.987804;-0.715487;-0.987804;-0.987804;-0.422632;-0.979955;-0.933891;-0.979955;-0.979955;0.000000
-0.165938;-0.165938;-0.261084;-0.308657;-0.356231;-0.542434;-0.632715;-0.783184;-0.768137;-0.978794;-0.499180;-0.499180;-0.860123;-0.825748;-0.791372;-0.218003;-0.218003;-0.203706;-0.203706;-0.289486;-0.181554;-0.436900;-0.469825;-0.742976;-0.721058;-0.186467;-0.444545;-0.467069;-0.747633;-0.725108;-0.179141;-0.467796;-0.487035;-0.737420;-0.737420;-0.174739;-0.468697;-0.484169;-0.732062;-0.732062;1.000000
-1.093616;-1.093616;-1.046043;-1.069829;-1.046043;-1.174403;-0.993841;-0.933653;-0.933653;-0.948700;-0.911686;-0.894499;-0.842935;-0.791372;-0.842935;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.009329;-0.998322;-0.976405;-1.238181;-1.238181;-1.005711;-1.005711;-0.983186;-1.257428;-1.257428;-1.007044;-0.949535;-0.987804;-1.243321;-1.243321;-0.995428;-0.979955;-0.979955;0.000000
0.833100;0.785527;0.809314;0.856887;0.928247;0.902067;0.676364;0.917114;1.127770;0.826833;0.257081;0.171142;0.205518;0.119579;0.016453;0.182303;0.053633;0.139413;0.025040;0.396752;2.180706;1.552579;1.178263;1.203676;1.652160;2.081898;1.265777;1.033306;1.100801;1.636398;2.151488;1.342615;1.092231;1.111470;1.650718;2.103070;1.312973;1.065080;1.126617;1.591811;1.000000
-0.522737;-0.617883;-0.617883;-0.641670;-0.665457;-0.467200;-0.422059;-0.572528;-0.677856;-0.828325;-0.396054;-0.361678;-0.464805;-0.499180;-0.464805;-0.232299;-0.389562;-0.473912;-0.509654;-0.403859;-0.469825;-0.629941;-0.648363;-0.659370;-0.725171;-0.444584;-0.699540;-0.725147;-0.747633;-0.725147;-0.487035;-0.699150;-0.679910;-0.737420;-0.737420;-0.484169;-0.685998;-0.670525;-0.732062;-0.732062;1.000000
-0.808176;-0.831963;-0.855750;-0.831963;-0.784390;-0.858419;-0.843372;-0.843372;-0.692903;-0.497293;-0.791372;-0.774184;-0.774184;-0.877311;-0.756996;-0.521091;-0.533958;-0.542536;-0.548255;-0.538247;-0.951088;-0.951088;-0.951088;-0.951088;-0.761398;-0.957618;-0.957618;-0.980103;-0.980103;-0.773240;-0.987804;-0.987804;-0.949535;-0.987804;-0.718180;-0.979955;-0.979955;-0.979955;-0.979955;-0.716590;0.000000
-0.998469;-1.046043;-1.046043;-1.022256;-1.069829;-1.008888;-1.008888;-1.008888;-0.918606;-0.978794;-0.860123;-0.894499;-0.894499;-0.825748;-0.877311;-0.571129;-0.586855;-0.589715;-0.581137;-0.589715;-0.979900;-0.979900;-0.979900;-0.979900;-0.976405;-0.980103;-0.980103;-0.983186;-0.980103;-0.980103;-1.007044;-1.007044;-1.007044;-1.007044;-0.949535;-0.995428;-0.995428;-0.995428;-0.995428;-0.979955;0.000000
-0.879536;-0.903323;-0.927109;-0.950896;-0.903323;-0.753091;-0.843372;-1.008888;-1.174403;-1.174403;-0.860123;-0.877311;-0.894499;-0.911686;-0.911686;-0.506794;-0.506794;-0.509654;-0.502505;-0.472483;-0.695742;-0.739481;-0.783412;-1.009329;-1.235247;-0.702623;-0.725147;-0.773240;-1.005711;-1.238181;-0.737420;-0.718180;-0.756659;-1.007044;-1.257428;-0.732062;-0.716590;-0.747535;-0.995428;-1.243321;0.000000
0.690381;0.737954;0.595234;0.714167;0.761740;-0.181309;0.480754;0.721504;0.661317;0.405520;0.102391;0.463334;0.858653;1.039124;0.850059;0.225192;0.325269;0.182303;0.210896;0.325269;0.408825;0.131416;0.649148;0.827687;0.605265;0.265291;0.055305;0.494639;0.967538;0.969278;0.341077;0.109722;0.725510;0.918386;0.687240;0.321401;0.058035;0.676896;0.909316;0.676896;1.000000
-0.451377;-0.380017;-0.522737;-0.570310;-0.617883;-0.391965;-0.482247;-0.587575;-0.617669;-0.647762;-0.378866;-0.533556;-0.636682;-0.653870;-0.756996;-0.318079;-0.175113;-0.289486;-0.360969;-0.389562;-0.440395;-0.203471;-0.440395;-0.695742;-0.695742;-0.441462;-0.208991;-0.418977;-0.699540;-0.699540;-0.214717;-0.179141;-0.448765;-0.699150;-0.699150;-0.484169;-0.220804;-0.484169;-0.732062;-0.732062;1.000000
0.999607;0.880674;0.856887;0.690381;0.523874;1.970396;1.082630;0.811786;0.089535;0.089535;0.325832;0.136767;0.068016;-0.086674;-0.138237;0.182303;0.110819;0.368159;0.182303;0.039336;1.972072;1.903538;1.641201;1.298136;0.303206;1.843183;1.843222;1.517689;1.304542;0.349052;1.997091;1.958612;1.631479;1.381094;0.302598;1.947660;1.916714;1.591811;1.343918;0.290455;1.000000
-1.093616;-1.093616;-1.093616;-1.093616;-1.093616;-1.174403;-1.174403;-1.174403;-1.174403;-1.174403;-0.911686;-0.911686;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-1.235247;-1.235247;-1.238181;-1.238181;-1.238181;-1.238181;-1.238181;-1.257428;-1.257428;-1.257428;-1.257428;-1.257428;-1.243321;-1.243321;-1.243321;-1.243321;-1.243321;0.000000
-1.046043;-1.046043;-1.069829;-1.093616;-1.093616;-1.174403;-0.978794;-1.174403;-1.174403;-1.174403;-0.911686;-0.894499;-0.911686;-0.911686;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-0.998322;-1.235247;-1.235247;-1.238181;-1.238181;-1.005711;-1.238181;-1.238181;-1.257428;-1.257428;-0.987804;-1.257428;-1.257428;-1.243321;-1.243321;-0.979955;-1.243321;-1.243321;0.000000
-0.665457;-0.617883;-0.641670;-0.689243;-0.689243;-0.497293;-0.662809;-0.407012;-0.361871;-0.542434;-0.671058;-0.722621;-0.705433;-0.722621;-0.705433;-0.418155;-0.461045;-0.446749;-0.473912;-0.446749;-0.480639;-0.466329;-0.692247;-0.455323;-0.455323;-0.495721;-0.489554;-0.725108;-0.495721;-0.470152;-0.448556;-0.467796;-0.718180;-0.448556;-0.448556;-0.453224;-0.468697;-0.716590;-0.407159;-0.453224;0.000000
0.642807;0.690381;0.809314;0.714167;0.642807;0.811786;0.586082;0.510848;0.104582;0.119629;0.858653;0.257081;0.514898;0.291457;0.050828;0.396752;0.368159;0.511125;0.468235;0.239489;1.419752;0.902165;0.533784;0.613942;0.057344;1.269243;0.756209;0.235217;0.331402;0.028315;1.386482;0.632425;0.147992;0.167232;0.112416;0.909316;0.398057;0.104100;0.165637;-0.159266;1.000000
-0.570310;-0.570310;-0.546524;-0.498950;-0.570310;-0.557481;-0.572528;-0.587575;-0.602622;-0.753091;-0.671058;-0.705433;-0.688245;-0.671058;-0.739809;-0.522521;-0.506794;-0.506794;-0.512513;-0.446749;-0.436900;-0.411584;-0.495141;-0.462217;-0.440395;-0.463947;-0.463947;-0.489554;-0.463947;-0.467030;-0.467796;-0.467796;-0.487035;-0.467796;-0.487035;-0.468697;-0.468697;-0.484169;-0.468697;-0.484169;1.000000
0.452514;0.619021;0.761740;0.952033;0.833100;-0.211403;-0.151215;0.285145;0.104582;0.104582;0.325832;0.360208;1.305534;1.064906;0.669587;0.582608;0.511125;0.339565;0.353862;0.468235;0.120554;-0.032813;-0.080047;0.412224;0.149983;0.042881;0.025271;0.028315;0.711200;0.456244;0.382040;0.093386;0.093386;0.651664;0.343770;0.150164;0.276091;0.276091;0.367465;0.104100;1.000000
-0.594097;-0.594097;-0.594097;-0.641670;-0.641670;-0.843372;-0.843372;-0.843372;-0.632715;-0.617669;-0.378866;-0.636682;-0.653870;-0.585119;-0.653870;-0.515372;-0.488209;-0.516802;-0.526810;-0.546825;-0.724553;-0.724553;-0.724553;-0.724553;-0.465712;-0.722025;-0.722025;-0.677055;-0.677055;-0.441462;-0.756659;-0.756659;-0.756659;-0.756659;-0.487035;-0.747535;-0.747535;-0.747535;-0.747535;-0.484169;1.000000
1.261259;1.499126;1.594272;1.403979;1.998645;1.127770;1.428708;1.368521;1.804880;1.669458;0.377395;0.085204;0.308644;0.411771;0.360208;0.425345;0.411048;0.468235;0.468235;0.411048;1.253691;1.574983;1.527701;1.523540;2.092418;1.100762;1.307625;1.330189;1.355757;2.050047;1.130710;1.438604;1.400334;1.419573;2.151488;1.096025;1.359391;1.359391;1.374864;2.103070;1.000000
-0.070791;-0.165938;-0.261084;-0.308657;-0.380017;-0.196356;-0.106074;-0.211403;-0.045887;0.044394;-0.189801;-0.447617;-0.550743;-0.447617;-0.585119;-0.332376;-0.360969;-0.418155;-0.446749;-0.475342;0.204777;-0.204089;0.080783;-0.178058;0.251859;0.074668;-0.276473;0.049087;-0.208952;0.230382;0.052213;-0.159902;0.071453;-0.198171;0.302598;0.042562;-0.205331;0.058035;-0.205331;0.290455;0.000000
-1.022256;-1.069829;-1.046043;-1.069829;-1.069829;-0.602622;-0.707950;-0.738044;-0.933653;-0.828325;-0.791372;-0.860123;-0.842935;-0.877311;-0.894499;-0.589715;-0.588285;-0.589715;-0.589715;-0.589715;-0.750487;-0.725171;-0.772405;-0.739481;-0.998322;-0.750716;-0.750716;-0.773240;-0.750716;-1.005711;-0.737420;-0.699150;-0.737420;-0.718180;-0.987804;-0.732062;-0.732062;-0.732062;-0.716590;-0.979955;0.000000
-1.069829;-1.093616;-1.069829;-1.069829;-1.022256;-0.978794;-0.993841;-0.963747;-0.978794;-0.948700;-0.774184;-0.739809;-0.722621;-0.739809;-0.756996;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-0.976405;-0.979900;-0.979900;-0.976405;-0.976405;-0.980103;-0.999492;-0.957618;-0.980103;-0.999492;-0.987804;-1.007044;-1.007044;-0.987804;-0.987804;-0.979955;-0.995428;-0.995428;-0.979955;-0.979955;0.000000
-1.093616;-1.117402;-1.117402;-1.117402;-1.093616;-1.174403;-1.174403;-1.174403;-1.008888;-1.174403;-0.911686;-0.911686;-0.911686;-0.894499;-0.911686;-0.589715;-0.589715;-0.589715;-0.589715;-0.589715;-1.235247;-1.235247;-1.235247;-1.235247;-1.009329;-1.238181;-1.238181;-1.238181;-1.238181;-1.005711;-1.257428;-1.257428;-1.257428;-1.257428;-1.007044;-1.243321;-1.243321;-1.243321;-1.243321;-0.995428;0.000000
-0.332444;-0.427590;-0.451377;-0.522737;-0.594097;-0.301684;-0.527387;-0.482247;-0.467200;-0.783184;-0.138237;-0.430429;-0.516368;-0.516368;-0.739809;-0.360969;-0.403859;-0.403859;-0.418155;-0.432452;-0.408089;-0.207488;-0.433405;-0.243289;-0.232283;-0.441462;-0.186506;-0.396492;-0.208991;-0.186506;-0.137968;-0.198171;-0.448556;-0.255890;-0.236651;-0.453224;-0.205331;-0.453224;-0.251749;-0.236276;1.000000
3.187976;2.260297;1.784565;1.237473;1.261259;2.828069;2.993584;1.443755;-0.030840;0.014301;6.685302;6.255608;6.049355;3.952449;0.978967;1.969380;1.969380;2.112346;3.970906;2.684211;2.064114;1.491732;1.557533;0.865176;0.355100;2.218163;1.346026;1.294889;0.736807;0.223773;1.944969;1.482470;1.482470;0.885712;0.365704;2.337355;1.795504;1.795504;1.253300;0.742041;1.000000
-0.237298;-0.189724;-0.261084;-0.308657;-0.213511;-0.045887;0.074488;-0.106074;-0.301684;-0.271590;-0.361678;-0.516368;-0.671058;-0.705433;-0.688245;-0.232299;-0.218003;-0.218003;-0.275189;-0.289486;0.320202;0.048477;0.215536;0.219552;0.015552;0.049087;0.052209;0.230382;0.233465;0.020435;0.052213;0.032974;0.283358;0.264119;0.013734;0.042562;0.027089;0.274982;0.259509;0.011617;1.000000
